time,temperature,humidity,pressure,windSpeed,rainfall
2024-01-01T09:00,32,65,1012,5,0
2024-01-01T09:10,33,67,1011,6,0
2024-01-01T09:20,34,70,1010,7,0
2024-01-01T09:30,35,72,1009,8,0
2024-01-01T09:40,36,75,1008,9,0
2024-01-01T09:50,37,78,1007,10,0
2024-01-01T10:00,38,80,1006,11,0
2024-01-01T10:10,39,82,1005,12,0
2024-01-01T10:20,40,84,1004,13,0
2024-01-01T10:30,41,86,1003,14,0
2024-01-01T10:40,42,88,1002,15,0
2024-01-01T10:50,43,90,1001,16,0
2024-01-01T11:00,44,92,1000,18,0
2024-01-01T11:10,50,15,995,35,0
